Code,Level,Abbr.,Term,Status,Quality Points,Count in Attempted?,Count in Passed?,Count in Earned?,Count in GPA?,FA Enroll Verification,Incomplete Grade Ind?,Incomplete Grade Default,Traditional Ind,Numeric Value,Repeat Ind,,
-,GR,DASH,196009,A,0,Y,Y,Y,N,N,N,,N,0,Y,,
-#,GR,DASH,196009,A,0,Y,N,N,N,Y,N,,N,0,Y,,
-*,GR,DASH,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
A,GR,A,196009,A,4,Y,Y,Y,Y,Y,N,,Y,98,Y,,
A#,GR,CLR/A,196009,A,0,Y,N,N,N,N,N,,N,98,Y,,
A*,GR,CLR/A,196008,A,0,Y,N,N,N,N,N,,N,98,Y,,
A+,GR,A+,196009,A,4,Y,Y,Y,Y,Y,N,,Y,99,Y,,
A+,GR,A+,200008,A,4,Y,Y,Y,Y,Y,N,,Y,99,Y,,
A+#,GR,CLR/A+,196009,A,0,Y,N,N,N,N,N,,N,99,Y,,
A+*,GR,CLR/A+,196009,A,0,Y,N,N,N,N,N,,N,99,Y,,
A-,GR,A-,196009,A,3.75,Y,Y,Y,Y,Y,N,,Y,97,Y,,
A-,GR,A-,200008,A,3.67,Y,Y,Y,Y,Y,N,,Y,97,Y,,
A-#,GR,CLR/A-,196009,A,0,Y,N,N,N,N,N,,N,97,Y,,
A-*,GR,CLR/A-,196009,A,0,Y,N,N,N,N,N,,N,97,Y,,
B,GR,B,196009,A,3,Y,Y,Y,Y,Y,N,,Y,85,Y,,
B#,GR,CLR/B,196009,A,0,Y,N,N,N,N,N,,N,85,Y,,
B*,GR,CLR/B,196009,A,0,Y,N,N,N,N,N,,N,85,Y,,
B+,GR,B+,196009,A,3.5,Y,Y,Y,Y,Y,N,,Y,86,Y,,
B+,GR,B+,200008,A,3.33,Y,Y,Y,Y,Y,N,,Y,86,Y,,
B+#,GR,CLR/B+,196009,A,0,Y,N,N,N,N,N,,N,86,Y,,
